species,name,age
Spinosaurus,Spike,91
Ankylosaurus,Rex,34
Diplodocus,Tank,79
Diplodocus,Spike,36
Diplodocus,Spiny,51
Diplodocus,Tank,5
Velociraptor,One-eye,1
Ankylosaurus,Spiny,75
Spinosaurus,Spike,1
Tyrannosaurus,Cera,76
Pterodactyl,Blue,68
Velociraptor,Cera,58
Triceratops,Tank,78
Stegosaurus,Spiny,56
Stegosaurus,Spiny,19
Brachiosaurus,Tank,46
Spinosaurus,Tank,52
Tyrannosaurus,Cera,71
Tyrannosaurus,Spike,75
Allosaurus,Pterry,51
Brachiosaurus,One-eye,66
Ankylosaurus,Spiny,38
Diplodocus,Pterry,12
Allosaurus,Spiny,35
Allosaurus,Tank,41
Diplodocus,Longneck,81
Velociraptor,Spiny,71
Diplodocus,Blue,42
Ankylosaurus,Blue,7
Velociraptor,Blue,64
Diplodocus,Cera,67
Pterodactyl,Longneck,86
Tyrannosaurus,Blue,18
Velociraptor,Rex,38
Stegosaurus,Pterry,35
Tyrannosaurus,Rex,75
Tyrannosaurus,Spike,80
Spinosaurus,One-eye,94
Diplodocus,Cera,46
Stegosaurus,Longneck,16
Stegosaurus,Spiny,62
Ankylosaurus,Spike,13
Velociraptor,Longneck,25
Ankylosaurus,Tiny,51
Stegosaurus,Pterry,90
Allosaurus,Longneck,34
Triceratops,Spike,44
Velociraptor,Longneck,44
Tyrannosaurus,Blue,88
Tyrannosaurus,Spiny,14
Allosaurus,One-eye,60
Brachiosaurus,Longneck,6
Triceratops,Cera,3
Triceratops,Longneck,34
Stegosaurus,Tiny,23
Ankylosaurus,Spiny,99
Brachiosaurus,Tank,36
Triceratops,Tiny,35
Tyrannosaurus,Blue,51
Spinosaurus,Cera,65
Ankylosaurus,Spike,4
Spinosaurus,Pterry,66
Triceratops,Pterry,20
Spinosaurus,Longneck,16
Stegosaurus,Spiny,98
Pterodactyl,Rex,74
Triceratops,Spike,57
Diplodocus,Blue,67
Spinosaurus,One-eye,46
Diplodocus,Tiny,80
Stegosaurus,Cera,1
Velociraptor,One-eye,36
Spinosaurus,Cera,51
Spinosaurus,Tiny,63
Brachiosaurus,Tiny,1
Brachiosaurus,One-eye,41
Brachiosaurus,Rex,76
Stegosaurus,Tank,93
Brachiosaurus,Tank,84
Ankylosaurus,Blue,2
Allosaurus,Cera,21
Stegosaurus,Spike,67
Velociraptor,Rex,30
Triceratops,Rex,99
Spinosaurus,Pterry,63
Tyrannosaurus,Tiny,47
Stegosaurus,Blue,37
Spinosaurus,Spiny,89
Stegosaurus,Longneck,3
Pterodactyl,Tank,22
Brachiosaurus,One-eye,44
Allosaurus,Longneck,47
Velociraptor,Tank,20
Stegosaurus,Cera,65
Diplodocus,Pterry,83
Stegosaurus,Tiny,93
Ankylosaurus,Rex,9
Pterodactyl,Cera,76
Brachiosaurus,Spike,50
Tyrannosaurus,Tank,78
Allosaurus,Tank,93
Pterodactyl,Longneck,94
Tyrannosaurus,Blue,92
Ankylosaurus,One-eye,76
Tyrannosaurus,Spike,56
Ankylosaurus,Blue,86
Diplodocus,Tank,69
Velociraptor,Tank,0
Brachiosaurus,Pterry,25
Tyrannosaurus,One-eye,74
Velociraptor,Longneck,63
Brachiosaurus,Spiny,81
Ankylosaurus,One-eye,48
Velociraptor,Rex,42
Velociraptor,Cera,91
Spinosaurus,Cera,58
Ankylosaurus,One-eye,46
Triceratops,Pterry,31
Diplodocus,Tiny,94
Ankylosaurus,Spike,44
Pterodactyl,Spike,64
Spinosaurus,Pterry,69
Stegosaurus,One-eye,34
Spinosaurus,Tiny,63
Pterodactyl,Tiny,37
Allosaurus,Spiny,23
Stegosaurus,Longneck,13
Spinosaurus,Tiny,22
Allosaurus,Pterry,94
Stegosaurus,Cera,14
Brachiosaurus,Pterry,70
Ankylosaurus,One-eye,3
Spinosaurus,Tank,85
Pterodactyl,Longneck,11
Brachiosaurus,Spike,6
Brachiosaurus,Spiny,29
Ankylosaurus,Spike,68
Spinosaurus,Cera,92
Tyrannosaurus,One-eye,8
Diplodocus,Cera,40
Spinosaurus,Spike,56
Tyrannosaurus,Pterry,32
Tyrannosaurus,Pterry,96
Triceratops,Spike,34
Pterodactyl,Spiny,31
Stegosaurus,Pterry,52
Velociraptor,Blue,0
Velociraptor,One-eye,38
Stegosaurus,Blue,97
Velociraptor,Tiny,96
Velociraptor,Tank,69
Stegosaurus,Blue,60
Diplodocus,Longneck,37
Pterodactyl,Tank,59
Brachiosaurus,Spike,48
Brachiosaurus,Spiny,3
Pterodactyl,Tiny,67
Ankylosaurus,Tank,60
Ankylosaurus,Tank,9
Brachiosaurus,Spike,71
Allosaurus,Tiny,91
Brachiosaurus,One-eye,58
Pterodactyl,Spike,71
Brachiosaurus,One-eye,97
Pterodactyl,Tiny,44
Velociraptor,Tiny,50
Brachiosaurus,Rex,17
Brachiosaurus,Pterry,76
Spinosaurus,Cera,25
Spinosaurus,Cera,93
Brachiosaurus,One-eye,83
Triceratops,Rex,85
Allosaurus,Pterry,87
Pterodactyl,Longneck,90
Stegosaurus,Rex,48
Diplodocus,Longneck,17
Brachiosaurus,Spike,98
Diplodocus,Tiny,6
Tyrannosaurus,One-eye,68
Stegosaurus,Spike,23
Brachiosaurus,Longneck,47
Pterodactyl,Tank,69
Triceratops,Cera,94
Ankylosaurus,Longneck,42
Velociraptor,Tank,61
Pterodactyl,Spike,27
Velociraptor,Spike,86
Brachiosaurus,One-eye,39
Allosaurus,Tiny,1
Allosaurus,Cera,93
Triceratops,Spiny,14
Ankylosaurus,Rex,11
Stegosaurus,Spiny,36
Diplodocus,Longneck,67
Spinosaurus,Cera,76
Velociraptor,Cera,30
Ankylosaurus,Blue,19
Tyrannosaurus,Cera,35
Pterodactyl,Tiny,52
Pterodactyl,Tiny,91
Ankylosaurus,Cera,43
Spinosaurus,Spike,93
Pterodactyl,Tank,23
Tyrannosaurus,Tiny,59
Tyrannosaurus,Cera,25
Spinosaurus,Tank,31
Spinosaurus,One-eye,62
Pterodactyl,Spike,45
Stegosaurus,Tiny,68
Brachiosaurus,Tank,61
Tyrannosaurus,Rex,44
Diplodocus,One-eye,38
Diplodocus,One-eye,15
Pterodactyl,Tank,22
Pterodactyl,Cera,59
Pterodactyl,Blue,47
Ankylosaurus,Spike,92
Triceratops,Rex,29
Velociraptor,Tiny,62
Tyrannosaurus,Spike,78
Velociraptor,Tiny,81
Pterodactyl,Cera,37
Velociraptor,One-eye,34
Velociraptor,One-eye,22
Allosaurus,Longneck,18
Diplodocus,Longneck,77
Diplodocus,Spike,92
Velociraptor,Tiny,95
Triceratops,Cera,70
Velociraptor,Spike,66
Triceratops,Blue,41
Velociraptor,Rex,70
Pterodactyl,Longneck,8
Ankylosaurus,Tiny,11
Triceratops,One-eye,66
Diplodocus,Spiny,73
Ankylosaurus,Tank,57
Velociraptor,Cera,79
Diplodocus,Spike,75
Tyrannosaurus,Pterry,1
Brachiosaurus,Spike,5
Brachiosaurus,Tank,99
Spinosaurus,Rex,68
Spinosaurus,Tank,51
Pterodactyl,One-eye,61
Brachiosaurus,Spike,68
Ankylosaurus,One-eye,60
Spinosaurus,Rex,99
Tyrannosaurus,Spike,6
Brachiosaurus,Tiny,14
Spinosaurus,Tank,42
Spinosaurus,Blue,41
Tyrannosaurus,Spiny,82
Stegosaurus,Blue,62
Spinosaurus,Rex,38
Triceratops,Spike,31
Pterodactyl,Spiny,94
Brachiosaurus,Blue,80
Diplodocus,Tiny,36
Brachiosaurus,Rex,57
Ankylosaurus,Pterry,15
Ankylosaurus,Rex,28
Tyrannosaurus,Cera,51
Allosaurus,Tank,86
Velociraptor,Spiny,1
Velociraptor,Spiny,97
Triceratops,Blue,71
Allosaurus,Pterry,91
Brachiosaurus,Spiny,33
Triceratops,Pterry,36
Velociraptor,Spiny,93
Spinosaurus,Tank,56
Ankylosaurus,Pterry,30
Diplodocus,Pterry,84
Diplodocus,Cera,52
Allosaurus,Spiny,47
Triceratops,Tank,40
Brachiosaurus,Blue,94
Triceratops,Pterry,60
Allosaurus,One-eye,99
Triceratops,Tank,83
Spinosaurus,Rex,40
Velociraptor,Spike,73
Stegosaurus,Pterry,10
Pterodactyl,Rex,35
Tyrannosaurus,Blue,54
Brachiosaurus,Spiny,84
Ankylosaurus,Tiny,43
Stegosaurus,Rex,79
Tyrannosaurus,Rex,54
Triceratops,Blue,94
Brachiosaurus,Rex,37
Brachiosaurus,Spike,53
Spinosaurus,Spike,13
Velociraptor,One-eye,88
Tyrannosaurus,Tiny,87
Triceratops,Blue,48
Spinosaurus,One-eye,90
Spinosaurus,Blue,21
Tyrannosaurus,Pterry,25
Pterodactyl,Longneck,46
Diplodocus,Spike,19
Diplodocus,Blue,64
Brachiosaurus,Spike,51
Spinosaurus,Pterry,89
Spinosaurus,Pterry,75
Ankylosaurus,Tiny,71
Spinosaurus,Spiny,7
Pterodactyl,Blue,6
Brachiosaurus,Spike,26
Triceratops,Spiny,55
Triceratops,Spike,72
Tyrannosaurus,Spiny,84
Diplodocus,Rex,28
Spinosaurus,Blue,10
Allosaurus,Tiny,80
Ankylosaurus,Tiny,77
Ankylosaurus,Blue,98
Spinosaurus,Pterry,24
Velociraptor,Blue,25
Stegosaurus,One-eye,32
Pterodactyl,Longneck,20
Pterodactyl,Spiny,81
Velociraptor,Pterry,61
Ankylosaurus,Spiny,47
Velociraptor,Spiny,19
Velociraptor,Pterry,65
Triceratops,Longneck,25
Spinosaurus,One-eye,36
Pterodactyl,Cera,67
Velociraptor,Tiny,38
Ankylosaurus,Spike,55
Diplodocus,Tank,79
Ankylosaurus,One-eye,23
Triceratops,Cera,65
Velociraptor,Blue,43
Diplodocus,Rex,14
Triceratops,Longneck,95
Spinosaurus,Blue,46
Spinosaurus,Longneck,98
Brachiosaurus,Spike,27
Pterodactyl,Rex,64
Allosaurus,Pterry,34
Brachiosaurus,Pterry,94
Triceratops,Blue,29
Diplodocus,Tank,49
Stegosaurus,Rex,28
Triceratops,Pterry,27
Brachiosaurus,Pterry,8
Velociraptor,Rex,0
Stegosaurus,Pterry,6
Stegosaurus,Rex,14
Velociraptor,Rex,12
Allosaurus,Rex,48
Tyrannosaurus,Pterry,61
Brachiosaurus,Tank,6
Velociraptor,Spiny,23
Triceratops,Blue,8
Spinosaurus,Longneck,15
Brachiosaurus,Spiny,17
Ankylosaurus,Spike,49
Triceratops,Rex,50
Pterodactyl,Longneck,15
Diplodocus,One-eye,40
Allosaurus,Tank,53
Brachiosaurus,Spike,35
Ankylosaurus,Cera,33
Velociraptor,Tiny,92
Pterodactyl,Longneck,49
Stegosaurus,Pterry,16
Pterodactyl,Rex,34
Pterodactyl,Spike,49
Brachiosaurus,Spiny,39
Brachiosaurus,Rex,61
Spinosaurus,Spike,95
Triceratops,Tank,86
Triceratops,Tank,43
Tyrannosaurus,Spike,36
Velociraptor,Longneck,4
Tyrannosaurus,Spiny,46
Pterodactyl,Longneck,44
Brachiosaurus,Spike,18
Allosaurus,Rex,78
Allosaurus,Spike,21
Pterodactyl,Pterry,34
Velociraptor,Rex,71
Triceratops,Blue,37
Spinosaurus,Cera,24
Spinosaurus,Tiny,9
Triceratops,Cera,99
Ankylosaurus,Cera,13
Ankylosaurus,One-eye,10
Pterodactyl,Cera,79
Ankylosaurus,Spike,97
Ankylosaurus,Tank,56
Tyrannosaurus,Blue,7
Stegosaurus,Longneck,67
Brachiosaurus,Tiny,88
Stegosaurus,Pterry,50
Diplodocus,Cera,50
Brachiosaurus,Tiny,80
Ankylosaurus,Spiny,99
Triceratops,Pterry,94
Allosaurus,Cera,19
Pterodactyl,Tiny,12
Triceratops,One-eye,45
Brachiosaurus,One-eye,98
Brachiosaurus,Pterry,23
Allosaurus,Spike,40
Tyrannosaurus,Spiny,28
Triceratops,One-eye,54
Allosaurus,Pterry,74
Brachiosaurus,Longneck,65
Brachiosaurus,Tank,16
Ankylosaurus,Longneck,1
Triceratops,Spike,20
Velociraptor,One-eye,50
Diplodocus,Pterry,0
Triceratops,Longneck,69
Stegosaurus,One-eye,35
Pterodactyl,Pterry,26
Ankylosaurus,Spike,2
Diplodocus,Tank,16
Spinosaurus,Pterry,31
Stegosaurus,One-eye,31
Diplodocus,One-eye,87
Brachiosaurus,Pterry,65
Ankylosaurus,Spiny,11
Brachiosaurus,One-eye,12
Allosaurus,One-eye,77
Ankylosaurus,Spike,41
Stegosaurus,Blue,25
Stegosaurus,Longneck,25
Stegosaurus,Tiny,83
Allosaurus,One-eye,53
Ankylosaurus,Rex,53
Spinosaurus,Tiny,83
Triceratops,Rex,48
Stegosaurus,Pterry,97
Spinosaurus,Tiny,98
Spinosaurus,Tank,76
Triceratops,One-eye,84
Pterodactyl,Cera,91
Ankylosaurus,Rex,73
Tyrannosaurus,Blue,48
Stegosaurus,Pterry,72
Tyrannosaurus,Blue,65
Ankylosaurus,Longneck,62
Ankylosaurus,Tank,67
Velociraptor,Cera,26
Tyrannosaurus,One-eye,33
Brachiosaurus,Tiny,79
Brachiosaurus,Spike,26
Velociraptor,Blue,27
Triceratops,Pterry,49
Triceratops,Spiny,75
Stegosaurus,Tank,34
Allosaurus,Spiny,29
Allosaurus,Blue,69
Allosaurus,Spiny,45
Allosaurus,Longneck,82
Triceratops,Tiny,12
Pterodactyl,Tank,87
Stegosaurus,Spike,6
Tyrannosaurus,Rex,79
Diplodocus,Rex,38
Diplodocus,Pterry,46
Tyrannosaurus,Tank,39
Brachiosaurus,Blue,9
Brachiosaurus,Tank,72
Spinosaurus,Spiny,64
Allosaurus,Rex,54
Ankylosaurus,One-eye,23
Stegosaurus,Spike,77
Brachiosaurus,Tank,15
Pterodactyl,Blue,62
Allosaurus,One-eye,46
Triceratops,Tiny,92
Allosaurus,Rex,65
Diplodocus,Tank,96
Ankylosaurus,One-eye,35
Velociraptor,Longneck,89
Pterodactyl,Spiny,78
Spinosaurus,Tank,13
Allosaurus,Longneck,67
Velociraptor,Spike,75
Ankylosaurus,Tiny,81
Pterodactyl,Rex,4
Stegosaurus,Blue,87
Allosaurus,Pterry,7
Tyrannosaurus,Longneck,13
Diplodocus,Tank,44
Diplodocus,Pterry,93
Allosaurus,Spiny,7
Pterodactyl,Spike,15
Spinosaurus,Rex,7
Diplodocus,Blue,84
Ankylosaurus,Tank,36
Triceratops,Tank,7
Allosaurus,Spike,54
Ankylosaurus,Rex,83
Triceratops,Pterry,9
Spinosaurus,Pterry,86
Spinosaurus,Spiny,3
Stegosaurus,Blue,37
Allosaurus,Blue,82
Pterodactyl,Cera,41
Spinosaurus,Pterry,82
Diplodocus,Longneck,45
Pterodactyl,Blue,36
Ankylosaurus,Spike,16
Triceratops,Pterry,93
Pterodactyl,Tank,32
Pterodactyl,One-eye,12
Diplodocus,Cera,78
Stegosaurus,Pterry,39
Ankylosaurus,Spike,52
Diplodocus,Tank,10
Stegosaurus,Tank,99
Pterodactyl,Pterry,85
Ankylosaurus,Spike,54
Triceratops,Tiny,84
Triceratops,Tank,12
Allosaurus,Spike,48
Tyrannosaurus,Tiny,89
Triceratops,Pterry,71
Pterodactyl,Rex,50
Velociraptor,Tiny,28
Stegosaurus,Spike,20
Brachiosaurus,Tiny,68
Spinosaurus,Rex,24
Brachiosaurus,Spiny,54
Pterodactyl,Tiny,47
Velociraptor,One-eye,55
Allosaurus,Spiny,87
Allosaurus,Tank,43
Triceratops,Spiny,45
Triceratops,Spike,79
Pterodactyl,Cera,19
Stegosaurus,Rex,47
Velociraptor,Cera,69
Allosaurus,Spiny,57
Allosaurus,Cera,89
Pterodactyl,Pterry,40
Allosaurus,Spiny,80
Diplodocus,Tank,73
Ankylosaurus,Spike,69
Spinosaurus,Tiny,66
Spinosaurus,Tank,21
Velociraptor,Tank,91
Pterodactyl,One-eye,54
Spinosaurus,Tiny,24
Diplodocus,Tiny,83
Ankylosaurus,Tank,28
Allosaurus,Spiny,93
Spinosaurus,Tank,31
Allosaurus,Blue,12
Triceratops,Rex,40
Velociraptor,Tiny,10
Pterodactyl,Tiny,3
Ankylosaurus,Tiny,72
Tyrannosaurus,Tank,88
Tyrannosaurus,Longneck,38
Brachiosaurus,Spike,69
Stegosaurus,One-eye,11
Triceratops,One-eye,93
Spinosaurus,Cera,57
Triceratops,Pterry,39
Ankylosaurus,Tiny,40
Pterodactyl,Blue,84
Triceratops,Spike,22
Triceratops,Spiny,18
Spinosaurus,Pterry,27
Stegosaurus,Rex,47
Spinosaurus,Rex,4
Spinosaurus,Blue,24
Spinosaurus,Tiny,32
Brachiosaurus,Tiny,34
Spinosaurus,Cera,54
Brachiosaurus,Spike,34
Brachiosaurus,One-eye,70
Brachiosaurus,Rex,18
Ankylosaurus,One-eye,24
Triceratops,Longneck,94
Stegosaurus,Blue,74
Spinosaurus,Tank,99
Brachiosaurus,Spiny,23
Triceratops,Tank,72
Spinosaurus,Tiny,88
Diplodocus,One-eye,76
Diplodocus,Pterry,12
Ankylosaurus,One-eye,64
Tyrannosaurus,Tank,0
Spinosaurus,Spiny,55
Velociraptor,Tiny,67
Ankylosaurus,Rex,28
Pterodactyl,Cera,5
Velociraptor,Blue,14
Triceratops,Cera,56
Brachiosaurus,Tiny,59
Ankylosaurus,Rex,49
Brachiosaurus,Tank,29
Tyrannosaurus,Spiny,52
Ankylosaurus,Spiny,85
Velociraptor,Rex,35
Velociraptor,Cera,24
Triceratops,Rex,82
Diplodocus,Longneck,88
Ankylosaurus,Cera,64
Brachiosaurus,Cera,98
Allosaurus,Longneck,43
Ankylosaurus,Tank,86
Spinosaurus,One-eye,32
Diplodocus,Longneck,9
Stegosaurus,Tank,3
Pterodactyl,Blue,7
Triceratops,One-eye,97
Ankylosaurus,Longneck,98
Stegosaurus,Tank,36
Triceratops,Pterry,92
Stegosaurus,Blue,81
Brachiosaurus,Spike,82
Velociraptor,Spike,65
Brachiosaurus,Tiny,41
Spinosaurus,Blue,69
Spinosaurus,Longneck,53
Brachiosaurus,One-eye,42
Brachiosaurus,Blue,45
Diplodocus,Spiny,18
Brachiosaurus,Tiny,93
Diplodocus,Blue,19
Diplodocus,Blue,33
Tyrannosaurus,Cera,17
Stegosaurus,Spike,24
Ankylosaurus,Spiny,76
Brachiosaurus,Cera,93
Ankylosaurus,Spiny,91
Allosaurus,Tank,94
Triceratops,Blue,56
Stegosaurus,Tank,17
Triceratops,Rex,30
Diplodocus,Cera,46
Stegosaurus,Blue,17
Triceratops,Blue,98
Brachiosaurus,Rex,72
Ankylosaurus,Tiny,95
Triceratops,Tank,36
Diplodocus,Rex,46
Velociraptor,Rex,0
Stegosaurus,Spike,3
Diplodocus,One-eye,39
Diplodocus,Rex,62
Velociraptor,Blue,9
Pterodactyl,One-eye,7
Allosaurus,Rex,82
Stegosaurus,Rex,83
Stegosaurus,Tiny,45
Allosaurus,Spike,10
Brachiosaurus,Cera,52
Allosaurus,Pterry,71
Spinosaurus,Spiny,59
Triceratops,One-eye,14
Pterodactyl,Spiny,36
Diplodocus,Longneck,17
Spinosaurus,One-eye,63
Stegosaurus,Longneck,13
Brachiosaurus,Cera,28
Diplodocus,Longneck,98
Spinosaurus,Rex,25
Velociraptor,Spike,10
Tyrannosaurus,Tank,96
Pterodactyl,Tiny,11
Pterodactyl,Longneck,21
Allosaurus,Spike,59
Stegosaurus,Cera,84
Ankylosaurus,Tiny,25
Tyrannosaurus,Longneck,5
Pterodactyl,Pterry,80
Stegosaurus,Pterry,1
Diplodocus,Tank,56
Brachiosaurus,Cera,34
Stegosaurus,Spike,21
Brachiosaurus,Longneck,45
Diplodocus,Longneck,45
Pterodactyl,One-eye,88
Ankylosaurus,One-eye,21
Stegosaurus,Spike,15
Tyrannosaurus,Cera,40
Ankylosaurus,One-eye,72
Stegosaurus,Spiny,55
Brachiosaurus,Longneck,31
Allosaurus,Cera,60
Brachiosaurus,Longneck,31
Diplodocus,Blue,65
Brachiosaurus,Tiny,99
Brachiosaurus,Spike,27
Velociraptor,Rex,99
Spinosaurus,Longneck,9
Triceratops,Cera,31
Spinosaurus,Spike,30
Pterodactyl,One-eye,75
Stegosaurus,Tiny,82
Spinosaurus,Rex,54
Spinosaurus,Pterry,15
Brachiosaurus,Tiny,87
Brachiosaurus,Longneck,79
Spinosaurus,Rex,31
Ankylosaurus,Tiny,13
Tyrannosaurus,Spike,47
Stegosaurus,Rex,56
Ankylosaurus,Pterry,58
Pterodactyl,Tiny,69
Tyrannosaurus,One-eye,46
Allosaurus,Spiny,59
Ankylosaurus,Spiny,79
Velociraptor,Tank,68
Pterodactyl,Spiny,42
Tyrannosaurus,Spike,27
Pterodactyl,Cera,20
Stegosaurus,Spiny,48
Spinosaurus,Cera,7
Brachiosaurus,One-eye,89
Tyrannosaurus,Tank,41
Pterodactyl,Blue,24
Stegosaurus,Longneck,7
Spinosaurus,Rex,29
Brachiosaurus,One-eye,28
Stegosaurus,Longneck,93
Brachiosaurus,Longneck,57
Brachiosaurus,Cera,17
Tyrannosaurus,Longneck,88
Diplodocus,Tank,35
Ankylosaurus,Spike,45
Spinosaurus,Rex,66
Brachiosaurus,Spiny,92
Triceratops,Pterry,50
Triceratops,Blue,91
Ankylosaurus,Spiny,33
Velociraptor,Longneck,15
Allosaurus,Cera,37
Brachiosaurus,One-eye,57
Triceratops,Blue,72
Allosaurus,One-eye,79
Allosaurus,Cera,94
Triceratops,Tank,18
Stegosaurus,Tank,17
Brachiosaurus,One-eye,93
Ankylosaurus,Tank,9
Stegosaurus,One-eye,5
Ankylosaurus,One-eye,2
Diplodocus,Longneck,37
Allosaurus,Spiny,48
Velociraptor,Spiny,47
Spinosaurus,Tank,92
Brachiosaurus,One-eye,55
Spinosaurus,Tiny,85
Triceratops,Cera,56
Diplodocus,Cera,39
Pterodactyl,Blue,78
Stegosaurus,Pterry,18
Triceratops,Cera,1
Brachiosaurus,Spiny,77
Velociraptor,One-eye,36
Tyrannosaurus,One-eye,56
Pterodactyl,Tank,99
Ankylosaurus,Spiny,44
Tyrannosaurus,Pterry,24
Triceratops,Blue,8
Pterodactyl,Pterry,60
Brachiosaurus,Blue,9
Spinosaurus,Tiny,95
Allosaurus,Tiny,7
Diplodocus,Tank,31
Spinosaurus,Tiny,15
Triceratops,Rex,46
Stegosaurus,Rex,88
Pterodactyl,Cera,60
Brachiosaurus,Tank,85
Spinosaurus,Longneck,90
Allosaurus,One-eye,94
Allosaurus,Pterry,92
Triceratops,Longneck,84
Triceratops,Spiny,0
Brachiosaurus,Spike,11
Triceratops,Tiny,66
Ankylosaurus,Tiny,57
Tyrannosaurus,Tank,78
Triceratops,Longneck,49
Stegosaurus,Tank,37
Triceratops,Cera,91
Tyrannosaurus,Pterry,57
Triceratops,Pterry,89
Triceratops,Spike,92
Tyrannosaurus,One-eye,57
Allosaurus,Tiny,32
Tyrannosaurus,Blue,38
Ankylosaurus,Longneck,98
Ankylosaurus,Blue,31
Stegosaurus,Tank,47
Velociraptor,Spiny,85
Ankylosaurus,Rex,40
Ankylosaurus,Spiny,75
Stegosaurus,Rex,43
Brachiosaurus,Blue,30
Pterodactyl,Cera,47
Ankylosaurus,One-eye,32
Stegosaurus,Tank,99
Velociraptor,Longneck,24
Brachiosaurus,Blue,10
Ankylosaurus,Tiny,73
Ankylosaurus,Blue,20
Ankylosaurus,Rex,77
Tyrannosaurus,Tiny,68
Stegosaurus,Tank,33
Allosaurus,One-eye,41
Triceratops,Longneck,53
Ankylosaurus,Rex,66
Spinosaurus,Spike,19
Triceratops,Tank,31
Brachiosaurus,Blue,89
Tyrannosaurus,Cera,40
Velociraptor,Tiny,94
Spinosaurus,Blue,11
Spinosaurus,Cera,26
Ankylosaurus,Cera,36
Tyrannosaurus,One-eye,23
Triceratops,Pterry,22
Triceratops,Longneck,18
Triceratops,Tiny,20
Allosaurus,Longneck,16
Stegosaurus,Spike,52
Brachiosaurus,Rex,75
Allosaurus,Spiny,55
Velociraptor,Longneck,70
Allosaurus,Blue,99
Spinosaurus,Spiny,78
Spinosaurus,Tank,65
Tyrannosaurus,Pterry,92
Spinosaurus,Pterry,24
Allosaurus,Pterry,52
Diplodocus,Pterry,77
Ankylosaurus,Rex,93
Spinosaurus,Longneck,8
Tyrannosaurus,Blue,38
Diplodocus,Tank,71
Stegosaurus,Tank,77
Spinosaurus,Pterry,10
Velociraptor,Blue,42
Triceratops,Pterry,33
Diplodocus,Blue,37
Diplodocus,Longneck,28
Stegosaurus,Spike,38
Stegosaurus,Pterry,98
Ankylosaurus,One-eye,99
Stegosaurus,Pterry,88
Tyrannosaurus,Blue,67
Brachiosaurus,Tiny,30
Velociraptor,Cera,92
Tyrannosaurus,Longneck,55
Diplodocus,One-eye,77
Brachiosaurus,Pterry,58
Brachiosaurus,One-eye,83
Pterodactyl,Pterry,2
Ankylosaurus,Spike,30
Ankylosaurus,Rex,77
Pterodactyl,Spiny,98
Spinosaurus,Rex,94
Brachiosaurus,Tank,16
Triceratops,One-eye,46
Ankylosaurus,Longneck,63
Allosaurus,Cera,4
Diplodocus,Spike,96
Pterodactyl,Tank,44
Allosaurus,Tiny,53
Pterodactyl,Cera,59
Ankylosaurus,One-eye,1
Velociraptor,Spike,11
Allosaurus,Tank,14
Allosaurus,Spike,74
Ankylosaurus,Longneck,95
Tyrannosaurus,Rex,22
Ankylosaurus,Longneck,72
Pterodactyl,Blue,81
Diplodocus,Longneck,43
Diplodocus,Longneck,23
Diplodocus,Longneck,45
Pterodactyl,Tiny,61
Spinosaurus,Rex,27
Velociraptor,Spiny,51
Triceratops,Spike,48
Triceratops,One-eye,79
Velociraptor,Spike,5
Triceratops,Longneck,84
Stegosaurus,One-eye,63
Brachiosaurus,Rex,74
Brachiosaurus,Longneck,12
Allosaurus,Pterry,48
Pterodactyl,Longneck,43
Pterodactyl,Pterry,21
Stegosaurus,Tiny,92
Velociraptor,Pterry,85
Pterodactyl,Tank,26
Allosaurus,Longneck,13
Diplodocus,Tank,9
Pterodactyl,Tank,14
Tyrannosaurus,Tiny,93
Diplodocus,Spike,79
Allosaurus,Cera,29
Velociraptor,Tank,78
Pterodactyl,Blue,76
Brachiosaurus,Pterry,73
Ankylosaurus,Pterry,13
Triceratops,Rex,55
Ankylosaurus,Tiny,71
Spinosaurus,Cera,11
Ankylosaurus,One-eye,76
Allosaurus,Rex,66
Stegosaurus,Spiny,11
Tyrannosaurus,Tank,57
Allosaurus,Rex,99
Tyrannosaurus,Blue,94
Spinosaurus,Tank,7
Tyrannosaurus,Blue,52
Ankylosaurus,Blue,25
Spinosaurus,Pterry,17
Velociraptor,Longneck,36
Brachiosaurus,Tank,51
Spinosaurus,Cera,78
Brachiosaurus,Tank,89
Velociraptor,Cera,91
Ankylosaurus,One-eye,36
Spinosaurus,Longneck,4
Stegosaurus,Cera,25
Velociraptor,Cera,7
Velociraptor,Longneck,89
Diplodocus,Cera,66
Brachiosaurus,Pterry,9
Diplodocus,Rex,41
Tyrannosaurus,Longneck,40
Stegosaurus,Longneck,73
Diplodocus,Tank,76
Triceratops,One-eye,93
Triceratops,Blue,80
Brachiosaurus,Tiny,71
Diplodocus,Cera,86
Pterodactyl,Longneck,7
Brachiosaurus,Longneck,10
Spinosaurus,Spike,75
Allosaurus,One-eye,27
Allosaurus,One-eye,44
Spinosaurus,Rex,50
Allosaurus,One-eye,93
Tyrannosaurus,Blue,64
Stegosaurus,One-eye,42
Velociraptor,Longneck,48
Diplodocus,Tank,63
Velociraptor,Spiny,11
Spinosaurus,Cera,7
Stegosaurus,One-eye,97
Allosaurus,One-eye,49
Allosaurus,Spiny,86
Velociraptor,Tiny,63
Tyrannosaurus,Longneck,83
Stegosaurus,Spike,91
Brachiosaurus,Tank,20
Velociraptor,Tiny,3
Pterodactyl,Spike,72
Tyrannosaurus,Tank,77
Stegosaurus,Tiny,14
Allosaurus,Pterry,84
